sensor:model,sensor:package,sensor:capability,sensor:units
TGS2442,InsertSensorPackageName,CO Gas,response indicator
Timestamp,geo:lat,geo:long,Value
2015-04-25T10:46:29.434-0700,-122.31583724,47.65527969,14.27
2015-04-25T10:46:30.451-0700,-122.31583726,47.65527971,14.66
2015-04-25T10:46:31.485-0700,-122.31583728,47.65527974,14.66
2015-04-25T10:46:32.486-0700,-122.31583781,47.65528024,14.47
2015-04-25T10:46:33.517-0700,-122.31583781,47.65528024,14.57
2015-04-25T10:46:34.546-0700,-122.31581349,47.65532473,14.57
2015-04-25T10:46:35.577-0700,-122.31581349,47.65532473,14.47
2015-04-25T10:46:36.613-0700,-122.31587226,47.65535214,14.57
2015-04-25T10:46:37.646-0700,-122.31588268,47.65536477,14.66
2015-04-25T10:46:38.702-0700,-122.31590282,47.6554066,14.27
2015-04-25T10:46:39.715-0700,-122.31588995,47.65544225,14.66
2015-04-25T10:46:40.785-0700,-122.31591067,47.65545934,14.57
2015-04-25T10:46:41.775-0700,-122.31589541,47.65546806,14.66
2015-04-25T10:46:42.812-0700,-122.31590265,47.65549658,14.66
2015-04-25T10:46:43.861-0700,-122.3158768,47.65551412,14.37
2015-04-25T10:46:44.857-0700,-122.31590127,47.65554064,14.66
2015-04-25T10:46:45.878-0700,-122.31587956,47.65554529,14.47
2015-04-25T10:46:46.956-0700,-122.31585737,47.65556279,14.66
2015-04-25T10:46:47.968-0700,-122.31583863,47.65557946,14.66
2015-04-25T10:46:48.989-0700,-122.31581338,47.65560301,14.37
2015-04-25T10:46:50.023-0700,-122.31578182,47.65562298,14.47
2015-04-25T10:46:51.040-0700,-122.31575742,47.65563203,14.57
2015-04-25T10:46:52.135-0700,-122.31575265,47.65563998,14.66
2015-04-25T10:46:53.163-0700,-122.31574895,47.6556524,14.66
2015-04-25T10:46:54.167-0700,-122.31575025,47.65566547,14.47
2015-04-25T10:46:55.188-0700,-122.31576096,47.65567047,14.66
2015-04-25T10:46:56.212-0700,-122.31576579,47.65567994,14.47
2015-04-25T10:46:57.226-0700,-122.31577762,47.6556894,14.86
2015-04-25T10:46:58.287-0700,-122.31580301,47.65570451,14.57
2015-04-25T10:46:59.262-0700,-122.31582043,47.65571932,14.57
2015-04-25T10:47:00.312-0700,-122.31580699,47.65573197,14.47
2015-04-25T10:47:01.371-0700,-122.31580317,47.65573614,14.66
2015-04-25T10:47:02.382-0700,-122.31583306,47.65573937,14.76
2015-04-25T10:47:03.449-0700,-122.31584786,47.65574676,14.66
2015-04-25T10:47:04.462-0700,-122.31585399,47.65575723,14.76
2015-04-25T10:47:05.478-0700,-122.31585356,47.6557797,14.76
2015-04-25T10:47:06.485-0700,-122.31563972,47.65592711,14.47
2015-04-25T10:47:07.512-0700,-122.31563972,47.65592711,14.76
2015-04-25T10:47:08.536-0700,-122.31555427,47.65598133,14.76
2015-04-25T10:47:09.574-0700,-122.31555774,47.6559654,14.47
2015-04-25T10:47:10.638-0700,-122.31556227,47.65598172,14.66
2015-04-25T10:47:11.698-0700,-122.31557102,47.65599953,14.66
2015-04-25T10:47:12.706-0700,-122.31557997,47.65601507,14.76
2015-04-25T10:47:13.780-0700,-122.31558105,47.65601845,14.47
2015-04-25T10:47:14.774-0700,-122.31557396,47.65602293,14.37
2015-04-25T10:47:15.774-0700,-122.31557055,47.65602061,14.66
2015-04-25T10:47:16.803-0700,-122.31556264,47.65602615,14.47
2015-04-25T10:47:17.885-0700,-122.31556177,47.65603314,14.66
2015-04-25T10:47:18.837-0700,-122.31556389,47.65602863,14.66
2015-04-25T10:47:20.007-0700,-122.31557871,47.65604199,14.57
2015-04-25T10:47:20.984-0700,-122.31558502,47.65605108,14.76
2015-04-25T10:47:22.033-0700,-122.31558366,47.65607613,14.66
2015-04-25T10:47:23.043-0700,-122.31558434,47.65609338,14.57
2015-04-25T10:47:24.063-0700,-122.31559726,47.65611868,14.76
2015-04-25T10:47:25.079-0700,-122.31559654,47.65611823,14.76
2015-04-25T10:47:26.125-0700,-122.31558421,47.65611917,14.57
2015-04-25T10:47:27.198-0700,-122.31558401,47.65612053,14.47
2015-04-25T10:47:28.135-0700,-122.31558401,47.65612053,14.47
2015-04-25T10:47:29.174-0700,-122.31558401,47.65612053,14.66
2015-04-25T10:47:30.191-0700,-122.31558401,47.65612053,14.66
2015-04-25T10:47:31.220-0700,-122.31558401,47.65612053,14.66
2015-04-25T10:47:32.247-0700,-122.31558401,47.65612053,14.57
2015-04-25T10:47:33.295-0700,-122.3155909,47.65613633,14.47
2015-04-25T10:47:34.303-0700,-122.3155341,47.65624578,14.66
2015-04-25T10:47:35.339-0700,-122.3155341,47.65624578,14.47
2015-04-25T10:47:36.365-0700,-122.3155341,47.65624578,14.66
2015-04-25T10:47:37.389-0700,-122.3155341,47.65624578,14.66
2015-04-25T10:47:38.480-0700,-122.3155341,47.65624578,14.76
2015-04-25T10:47:39.458-0700,-122.3155341,47.65624578,14.76
2015-04-25T10:47:40.487-0700,-122.3155341,47.65624578,14.47
2015-04-25T10:47:41.516-0700,-122.31552284,47.65627143,14.66
2015-04-25T10:47:42.539-0700,-122.31556893,47.65635168,14.76
2015-04-25T10:47:43.579-0700,-122.31556893,47.65635168,14.66
2015-04-25T10:47:44.607-0700,-122.31562867,47.65640126,14.76
2015-04-25T10:47:45.644-0700,-122.3156316,47.65641948,14.57
2015-04-25T10:47:46.670-0700,-122.31563377,47.65642569,14.66
2015-04-25T10:47:47.697-0700,-122.31563408,47.65643584,14.57
2015-04-25T10:47:48.772-0700,-122.31565512,47.65644307,14.57
2015-04-25T10:47:49.772-0700,-122.31564815,47.65645773,14.66
